,,Household,Comptroller's Office's Low Estimate,Comptroller's Office's Medium Estimate,Comptroller's Office's High Estimate,OMB Estimate at Adoption
0,7/1/2022,445.0,,,,
1,7/2/2022,459.0,,,,
2,7/3/2022,473.0,,,,
3,7/4/2022,487.0,,,,
4,7/5/2022,501.0,,,,
5,7/6/2022,515.0,,,,
6,7/7/2022,529.0,,,,
7,7/8/2022,543.0,,,,
8,7/9/2022,557.0,,,,
9,7/10/2022,571.0,,,,
10,7/11/2022,585.0,,,,
11,7/12/2022,599.0,,,,
12,7/13/2022,613.0,,,,
13,7/14/2022,627.0,,,,
14,7/15/2022,641.0,,,,
15,7/16/2022,655.0,,,,
16,7/17/2022,669.0,,,,
17,7/18/2022,683.0,,,,
18,7/19/2022,697.0,,,,
19,7/20/2022,711.0,,,,
20,7/21/2022,763.0,,,,
21,7/22/2022,814.0,,,,
22,7/23/2022,865.0,,,,
23,7/24/2022,917.0,,,,
24,7/25/2022,968.0,,,,
25,7/26/2022,1019.0,,,,
26,7/27/2022,1071.0,,,,
27,7/28/2022,1122.0,,,,
28,7/29/2022,1173.0,,,,
29,7/30/2022,1225.0,,,,
30,7/31/2022,1276.0,,,,
31,8/1/2022,1330.0,,,,
32,8/2/2022,1384.0,,,,
33,8/3/2022,1438.0,,,,
34,8/4/2022,1493.0,,,,
35,8/5/2022,1547.0,,,,
36,8/6/2022,1602.0,,,,
37,8/7/2022,1657.0,,,,
38,8/8/2022,1713.0,,,,
39,8/9/2022,1768.0,,,,
40,8/10/2022,1824.0,,,,
41,8/11/2022,1880.0,,,,
42,8/12/2022,1936.0,,,,
43,8/13/2022,1993.0,,,,
44,8/14/2022,2049.0,,,,
45,8/15/2022,2106.0,,,,
46,8/16/2022,2163.0,,,,
47,8/17/2022,2221.0,,,,
48,8/18/2022,2278.0,,,,
49,8/19/2022,2336.0,,,,
50,8/20/2022,2394.0,,,,
51,8/21/2022,2453.0,,,,
52,8/22/2022,2511.0,,,,
53,8/23/2022,2570.0,,,,
54,8/24/2022,2629.0,,,,
55,8/25/2022,2688.0,,,,
56,8/26/2022,2748.0,,,,
57,8/27/2022,2807.0,,,,
58,8/28/2022,2867.0,,,,
59,8/29/2022,2927.0,,,,
60,8/30/2022,2988.0,,,,
61,8/31/2022,3049.0,,,,
62,9/1/2022,3094.0,,,,
63,9/2/2022,3139.0,,,,
64,9/3/2022,3185.0,,,,
65,9/4/2022,3231.0,,,,
66,9/5/2022,3277.0,,,,
67,9/6/2022,3323.0,,,,
68,9/7/2022,3369.0,,,,
69,9/8/2022,3469.0,,,,
70,9/9/2022,3570.0,,,,
71,9/10/2022,3671.0,,,,
72,9/11/2022,3772.0,,,,
73,9/12/2022,3873.0,,,,
74,9/13/2022,3975.0,,,,
75,9/14/2022,4088.0,,,,
76,9/15/2022,4201.0,,,,
77,9/16/2022,4314.0,,,,
78,9/17/2022,4427.0,,,,
79,9/18/2022,4542.0,,,,
80,9/19/2022,4656.0,,,,
81,9/20/2022,4878.0,,,,
82,9/21/2022,4972.0,,,,
83,9/22/2022,5067.0,,,,
84,9/23/2022,5162.0,,,,
85,9/24/2022,5257.0,,,,
86,9/25/2022,5353.0,,,,
87,9/26/2022,5449.0,,,,
88,9/27/2022,5546.0,,,,
89,9/28/2022,5642.0,,,,
90,9/29/2022,5764.0,,,,
91,9/30/2022,5886.0,,,,
92,10/1/2022,5993.0,,,,
93,10/2/2022,6099.0,,,,
94,10/3/2022,6205.0,,,,
95,10/4/2022,6311.0,,,,
96,10/5/2022,6409.0,,,,
97,10/6/2022,6508.0,,,,
98,10/7/2022,6607.0,,,,
99,10/8/2022,6705.0,,,,
100,10/9/2022,6803.0,,,,
101,10/10/2022,6901.0,,,,
102,10/11/2022,6999.0,,,,
103,10/12/2022,7007.0,,,,
104,10/13/2022,7047.0,,,,
